"ENTREZID","SYMBOL","ENSEMBL","chr","start","end","strand","width","H3K27ac_BG_rep1","H3K27ac_BG_rep2","H3K27ac_LPS_rep1","H3K27ac_LPS_rep2","H3K27ac_RPMI_rep1","H3K27ac_RPMI_rep2","H3K4me1_BG_rep1","H3K4me1_BG_rep2","H3K4me1_LPS_rep1","H3K4me1_LPS_rep2","H3K4me1_RPMI_rep1","H3K4me1_RPMI_rep2","H3K4me3_BG_rep1","H3K4me3_BG_rep2","H3K4me3_LPS_rep1","H3K4me3_LPS_rep2","H3K4me3_RPMI_rep1","H3K4me3_RPMI_rep2","Scaling_method"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,105.308074945588,62.6059987927351,108.840829209952,68.4913442448707,119.895534409583,47.8768444948922,5.25022871574057,8.44707985100138,5.28783369417205,7.76532149007871,7.22008277746184,5.12744931274158,157.998538609238,79.602468219453,105.62156651034,87.1327517052053,106.250096817534,35.1018891297615,"As_deposited"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,12.1440722795355,10.8093328723609,18.2405999699622,14.6942617191283,39.9317264798212,11.3301043219076,12.6735178953228,14.3572173293161,11.0564475138122,16.6940814740815,17.9652815411321,7.66679935022432,77.05213477029,48.3169530829256,64.3265363495381,57.5899689228633,80.165562793731,22.9685016190757,"As_deposited"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,6.24615562048285,9.07089828320611,25.5247156954893,19.2568471648681,10.1088504500258,4.13560070671378,10.2566415068606,10.8223709779557,10.742746148311,13.8976794227831,11.9050284257864,4.23595091163627,10.4965254649989,13.1427250749215,30.6242984228785,22.0278139417435,8.79322724259437,4.96765847347995,"As_deposited"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,2.96008785299474,3.77898874370487,6.6081666616797,10.2590113630401,2.51213836339478,2.32416879795396,4.63390048827247,5.11813286955598,9.83556766194602,9.84775003255704,5.65341403277229,2.26183879673209,46.5020545009438,27.6143937980957,42.1742940838963,44.1603816762483,20.0550763798884,12.0862888482633,"As_deposited"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,6.6692173552569,8.06152305843361,6.86321993190828,6.1936578330074,8.53649633182529,4.4119560797072,7.34715678772831,5.09920099678546,4.69418780441111,5.19478541701391,6.38709823649607,2.51018285771796,92.2053716550112,60.9157532204425,59.5574641228962,51.1252207202461,68.6525748258317,28.0439373297003,"As_deposited"
"1326","MAP3K8","ENSG00000107968","chr10",30720950,30724949,"+",4000,105.308074945588,62.6059987927351,108.840829209952,68.4913442448707,119.895534409583,55.7799064674868,5.25022871574057,8.44707985100138,5.28783369417205,7.76532149007871,7.22008277746184,6.79770515047196,157.998538609238,79.602468219453,105.62156651034,87.1327517052053,106.250096817534,67.4866605881035,"Peer_median_corrected"
"2048","EPHB2","ENSG00000133216","chr1",23035332,23039331,"+",4000,12.1440722795355,10.8093328723609,18.2405999699622,14.6942617191283,39.9317264798212,13.2003720381008,12.6735178953228,14.3572173293161,11.0564475138122,16.6940814740815,17.9652815411321,10.164243125943,77.05213477029,48.3169530829256,64.3265363495381,57.5899689228633,80.165562793731,44.1590897644771,"Peer_median_corrected"
"3718","JAK3","ENSG00000105639","chr19",17956881,17960880,"-",4000,6.24615562048285,9.07089828320611,25.5247156954893,19.2568471648681,10.1088504500258,4.81826701490275,10.2566415068606,10.8223709779557,10.742746148311,13.8976794227831,11.9050284257864,5.61580301878793,10.4965254649989,13.1427250749215,30.6242984228785,22.0278139417435,8.79322724259437,9.55078742565771,"Peer_median_corrected"
"4233","MET","ENSG00000105976","chr7",116310250,116314249,"+",4000,2.96008785299474,3.77898874370487,6.6081666616797,10.2590113630401,2.51213836339478,2.70782085854373,4.63390048827247,5.11813286955598,9.83556766194602,9.84775003255704,5.65341403277229,2.99862803126611,46.5020545009438,27.6143937980957,42.1742940838963,44.1603816762483,20.0550763798884,23.237019245809,"Peer_median_corrected"
"657","BMPR1A","ENSG00000107779","chr10",88513543,88517542,"+",4000,6.6692173552569,8.06152305843361,6.86321993190828,6.1936578330074,8.53649633182529,5.14024054970838,7.34715678772831,5.09920099678546,4.69418780441111,5.19478541701391,6.38709823649607,3.32786964819593,92.2053716550112,60.9157532204425,59.5574641228962,51.1252207202461,68.6525748258317,53.917088995614,"Peer_median_corrected"
