"ENSEMBL","SYMBOL","Day1_log2FC","Day1_P","Day1_FDR_kinase","Day1_Day6_relationship","Day6_memory_log2FC","Day6_memory_FDR_kinase","Day6_memory_FDR_genome","Response_pattern","Tolerance_interaction_log2","Interaction_P","Interaction_FDR_genome","BG_baseline_reversal_supported","BG_response_restoration_supported","Directional_support_score","RNA_chromatin_priority"
"ENSG00000107968","MAP3K8",0.468280924460789,0.44503632509136,0.761788157896599,"same_direction_no_nominal_support",1.39387870584643,0.0264808208850477,0.0708004397299724,"blunted_same_direction",-0.956140009209561,0.0369700358978631,0.924133576290921,TRUE,TRUE,3,"HIGH"
"ENSG00000105639","JAK3",3.0880160267995,0.00276042304046035,0.237429897574476,"acute_supported_same_direction",1.89523439154549,0.0471420766117238,0.104578095215267,"blunted_same_direction",-1.4878656566191,0.0456180173289995,0.947663800089408,TRUE,TRUE,3,"HIGH"
"ENSG00000254087","LYN",2.11426612356142,0.0408861643580939,0.406355004925105,"acute_supported_same_direction",1.50512492044938,0.033933882408987,0.0868670338421668,"blunted_same_direction",-0.938539129710715,0.103495624825257,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000188906","LRRK2",-0.0567518682947284,0.923543047289002,0.970574349805446,"memory_emergent_small_Day1_effect",1.55494521975739,0.0264808208850477,0.06530987383748,"blunted_same_direction",0.722769221958203,0.158404322410555,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000106605","BLVRA",-0.262083439989251,0.607290347452696,0.885171688256808,"same_direction_no_nominal_support",-1.24513080223856,0.042862384317761,0.0965817040206494,"blunted_same_direction",-0.60180929818376,0.177977918504693,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000117020","AKT3",1.24839662739588,0.0412283408661298,0.406355004925105,"acute_supported_same_direction",1.14537737044339,0.0264808208850477,0.063791998696582,"blunted_same_direction",-0.543029093234474,0.181177743518144,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000101336","HCK",2.28567272136943,0.0170934303532145,0.33099540880067,"acute_supported_same_direction",1.15856360311711,0.0264808208850477,0.063791998696582,"blunted_same_direction",-0.656213328175684,0.27773605483358,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000007264","MATK",-0.132687400424399,0.804487631448522,0.955911592172887,"memory_emergent_small_Day1_effect",-2.30951657872545,0.033933882408987,0.0834836385494455,"blunted_same_direction",0.431718193175214,0.462709666611931,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000156711","MAPK13",0.486567084104056,0.290562612113155,0.668936839025632,"opposite_direction_no_nominal_support",-1.07616235904964,0.0471420766117238,0.104578095215267,"blunted_same_direction",0.268304125893721,0.50114955124415,0.995288743699047,TRUE,TRUE,3,"HIGH"
"ENSG00000107779","BMPR1A",0.510569922846846,0.681844295564139,0.926724480671542,"opposite_direction_no_nominal_support",-1.96596694499885,0.042862384317761,0.0967975007545144,"blunted_same_direction",0.695205282866317,0.548617567745392,0.995288743699047,TRUE,TRUE,3,"HIGH"
